id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakedate,movementdate,Time take to move out
15801,Moving,Jadzia,Domestic Short Hair,Tortie,Cat,9 years 2 months.,Female,Adoption,,,
15932,Moving,Gonzo,German Shepherd Dog/Mix,Tan,Dog,9 years 1 month.,Male,Adoption,8/Dec/09,24/Apr/17,"2,694.00"
28859,Abandoned,Maggie,Shep Mix/Siberian Husky,Various,Dog,6 years 8 months.,Female,Adoption,10/Aug/12,15/Apr/17,"1,709.00"
30812,Abandoned,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8 years 11 months.,Female,Foster,,,
30812,Abandoned,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8 years 11 months.,Female,Adoption,,,
31469,Incompatible with owner lifestyle,Bonnie,Basenji/Mix,Brown and White,Dog,5 years 11 months.,Female,Adoption,26/Mar/13,30/Mar/13,4.00
31469,Incompatible with owner lifestyle,Bonnie,Basenji/Mix,Brown and White,Dog,5 years 11 months.,Female,Adoption,26/Mar/13,9/May/17,"1,505.00"
40705,Abandoned,Candy,American Sable/American,Brown,House Rabbit,4 years 6 months.,Female,Transfer,,,
40706,Abandoned,Charlotte,American Sable/American,Brown,House Rabbit,4 years 6 months.,Female,Transfer,,,
46238,Abandoned,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Foster,9/Oct/16,26/Nov/16,48.00
46238,Abandoned,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Foster,9/Oct/16,9/Aug/17,304.00
46238,Abandoned,Tennessee,Heeler/Mix,Brown and Black,Dog,3 years 2 months.,Male,Adoption,9/Oct/16,14/Feb/18,493.00
46437,Abandoned,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Foster,,,
46437,Abandoned,Nova,Domestic Long Hair,Black,Cat,12 years 3 months.,Female,Adoption,,,
46693,Abandoned,Baby,Pitbull,White,Dog,4 years 1 month.,Male,Adoption,21/Nov/16,7/Apr/17,137.00
47120,Abandoned,Vivian,Himalayan,Seal,Cat,5 years 0 months.,Female,Foster,,,
47120,Abandoned,Vivian,Himalayan,Seal,Cat,5 years 0 months.,Female,Adoption,,,
47146,Abandoned,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,3 years 10 months.,Female,Foster,17/Jan/17,31/Mar/17,73.00
47146,Abandoned,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,3 years 10 months.,Female,Adoption,17/Jan/17,1/Apr/17,74.00
47156,Abandoned,Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Foster,,,
47156,Abandoned,Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Foster,,,
47156,Abandoned,Maxwell,American,Black,House Rabbit,3 years 10 months.,Male,Adoption,,,
47157,Abandoned,Hammer,American,Black,House Rabbit,3 years 10 months.,Male,Foster,,,
47157,Abandoned,Hammer,American,Black,House Rabbit,3 years 10 months.,Male,Adoption,,,
47198,Abandoned,Mama Mia,Domestic Short Hair,Grey and White,Cat,3 years 3 months.,Female,Foster,,,
47198,Abandoned,Mama Mia,Domestic Short Hair,Grey and White,Cat,3 years 3 months.,Female,Adoption,,,
47248,Abandoned,Mr. T,DMH/DSH,Black,Cat,9 years 11 months.,Male,Foster,,,
47248,Abandoned,Mr. T,DMH/DSH,Black,Cat,9 years 11 months.,Male,Adoption,,,
47277,Abandoned,Coraline,Domestic Short Hair,Brown and Black,Cat,3 years 10 months.,Female,Adoption,,,
